Classification Name,Classification Code,Time,Time Code,Country Name,Country Code, ,1000000:GROSS DOMESTIC PRODUCT [1000000],9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE [9100000],9020000:ACTUAL INDIVIDUAL CONSUMPTION [9020000],1101000:FOOD AND NON-ALCOHOLIC BEVERAGES [1101000],1101100:FOOD [1101100],1101110:Bread and cereals [1101110],1101120:Meat [1101120],1101130:Fish and seafood [1101130],"1101140:Milk, cheese and eggs [1101140]",1101150:Oils and fats [1101150],1101160:Fruit [1101160],1101170:Vegetables [1101170],"1101180:Sugar, jam, honey, chocolate and confectionery [1101180]",1101190:Food products n.e.c. (Class) [1101190],1101200:NON-ALCOHOLIC BEVERAGES [1101200],"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS [1102000]",1102100:ALCOHOLIC BEVERAGES [1102100],1102200:TOBACCO [1102200],1103000:CLOTHING AND FOOTWEAR [1103000],"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS [9060000]","1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE [1105000]",9080000:ACTUAL HEALTH [9080000],1107000:TRANSPORT [1107000],1107100:PURCHASE OF VEHICLES [1107100],1107300:TRANSPORT SERVICES [1107300],1108000:COMMUNICATION [1108000],9110000:ACTUAL RECREATION AND CULTURE [9110000],9120000:ACTUAL EDUCATION [9120000],1111000:RESTAURANTS AND HOTELS [1111000],9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES [9140000],1113000:NET PURCHASES ABROAD [1113000],9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING [9260000],9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE [9270000],1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT [1300000],1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT [1400000],1500000:GROSS CAPITAL FORMATION [1500000],1501000:GROSS FIXED CAPITAL FORMATION [1501000],1501100:MACHINERY AND EQUIPMENT [1501100],1501200:CONSTRUCTION [1501200],1501300:OTHER PRODUCTS [1501300],1502000:CHANGES IN INVENTORIES [1502000],1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category) [1503000],1600000:BALANCE OF EXPORTS AND IMPORTS [1600000],9250000:DOMESTIC ABSORPTION [9250000],SP.EXCHG.RATE.ICP:Exchange Rate Value [SP.EXCHG.RATE.ICP],SP.POP.TOTL.ICP:Population [SP.POP.TOTL.ICP],SP.POP.TOTL.ICP.ZS:Population shares (World=100) [SP.POP.TOTL.ICP.ZS]
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Netherlands,NLD,,333.517,250.333,292.652,230.5,226.634,265.485,175.56,95.463,281.178,258.853,183.451,200.227,414.389,283.735,287.335,333.342,357.215,209.667,310.871,236.307,328.273,278.165,233.58,218.645,118.861,227.832,451.947,242.773,305,408.442,-224.651,249.148,429.115,556.848,293.111,309.026,314.14,332.223,199.64,552.637,168.962,142.875,6600.523,294.728,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,North Macedonia,MKD,,94.28,99.736,106.608,174.574,167.978,131.114,140.908,48.655,273.386,189.213,275.203,227.952,126.68,77.101,265.763,239.573,154.008,260.17,58.175,125.604,49.15,71.466,53.846,38.523,85.118,94.477,61.714,157.201,71.58,74.196,-430.494,95.14,141.246,142.266,139.376,100.005,74.533,60.873,94.005,24.455,654.25,39.068,-954.241,107.208,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Norway,NOR,,379.26,288.996,329.897,204.299,194.465,112.769,179.974,208.014,279.045,117.922,241.626,99.825,456.7,283.331,337.226,268.238,370.965,153.147,312.655,260.278,415.302,311.373,349.606,554.087,247.113,268.086,504.237,252.632,248.849,412.89,-8524.964,292.332,473.403,574.763,356.85,472.717,430.15,375.569,372.157,480.723,1466.776,95.049,3339.138,362.756,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Poland,POL,,179.578,182.466,195.849,188.501,186.397,130.876,213.675,51.123,241.773,166.409,163.828,146.759,353.311,295.219,225.272,344.074,466.439,197.603,124.274,247.441,175.202,207.459,149.412,136.023,61.384,199.91,228.135,202.193,74.348,202.399,295.888,183.181,250.411,272.44,225.17,120.77,110.897,157.021,89.973,70.674,347,27.57,724.46,177.917,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Portugal,PRT,,199.368,208.031,213.191,235.824,241.254,230.962,248.76,487.554,251.554,370.694,266.496,141.866,175.011,81.326,179.028,256.262,283.752,198.734,247.479,192.405,202.689,204.074,225.743,269.495,93.42,150.09,208.16,194.265,471.785,205.077,6544.094,202.819,219.988,227.587,211.661,160.805,164.324,135.441,158.94,177.34,66.399,157.909,273.495,200.388,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Romania,ROU,,164.457,170.11,180.064,254.615,261.275,221.682,444.853,85.123,220.144,172.416,260.327,286.208,201.36,126.977,184.792,265.777,340.116,167.612,101.862,205.472,154.61,237.435,115.673,59.018,142.02,262.016,161.345,181.005,78.315,78.613,-466.709,170.88,232.195,228.478,232.127,136.781,137.068,132.604,158.867,50.255,122.2,31.601,-289.938,172.216,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Russian Federation,RUS,,157.145,145.851,158.306,195.838,192.958,149.052,252.636,170.914,244.751,189.449,152.553,154.747,325.342,77.216,231.289,443.419,484.743,387.748,132.993,146.453,155.425,149.461,123.387,109.778,138.942,304.753,108.89,215.035,49.214,106.92,-785.16,147.288,275.516,243.777,298.066,105.159,99.408,105.996,71.401,138.028,196.573,859.827,726.038,152.821,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Serbia,SRB,,100.023,111.259,122.159,137.755,131.034,109.787,196.811,40.096,191.395,104.151,106.588,99.697,164.935,77.462,229.968,338.952,187.704,398.402,56.237,156.06,69.959,140.128,75.69,48.157,54.829,173.704,91.717,172.595,47.146,85.973,-29.643,107.295,175.172,192.679,157.107,59.314,56.249,71.064,45.467,48.212,125.177,0.072,-523.933,107.645,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Slovakia,SVK,,186.259,166.856,180.119,172.186,171.069,172.042,224.265,55.589,286.786,197.007,143.741,85.453,237.937,109.455,194.331,370.066,376.638,243.23,116.042,219.039,203.267,194.495,88.09,86.504,93.234,186.718,250.891,185.498,144.63,133.366,433.358,163.512,288.344,259.15,317.101,165.014,159.054,271.706,114.483,80.363,285.024,80.479,484.398,186.085,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Slovenia,SVN,,220.909,190.911,204.507,187.646,181.228,137.548,200.048,60.503,319.805,181.168,200.209,171.832,246.699,93.744,278.541,440.221,329.751,392.457,205.935,198.649,193.471,193.357,256.49,288.851,47.132,167.022,268.531,192.866,229.783,179.38,4330.904,192.484,263.603,282.538,242.897,196.897,188.616,272.012,131.378,181.266,365.266,22.179,2626.598,205.125,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Spain,ESP,,238.781,230.854,237.278,211.636,204.937,130.799,251.313,322.75,234.003,272.027,193.576,140.936,157.149,214.173,307.14,419.912,337.565,267.941,250.796,223.589,227.974,182.672,258.026,266.124,134.505,159.949,291.42,202.937,569.977,214.067,4960.913,228.758,258.401,268.459,250.043,217.356,217.928,220.69,91.656,546.57,149.814,558.641,1272.866,233.257,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Sweden,SWE,,317.513,249.285,290.243,226.151,215.155,149.919,179.473,153.971,366.892,204.866,223.515,156.139,630.271,140.807,380.84,306.016,408.052,192.114,223.651,293.479,336.488,212.381,258.571,385.198,185.551,303.6,427.817,246.732,217.084,416.95,-926.383,235.961,435.538,533.389,314.223,349.446,353.65,518.008,169.452,695.737,227.409,192.975,2178.933,305.785,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Switzerland,CHE,,404.562,348.679,325.519,216.027,206.768,167.809,151.942,101.779,398.165,197.402,271.824,158.58,380.823,248.987,355.567,602.495,776.239,311.042,338.163,314.866,358.818,285.99,326.837,545.507,246.554,428.38,430.63,193.135,341.531,426.742,0,348.164,223.215,183.959,263.304,466.501,498.486,775.179,201.552,1118.832,-545.541,2384.76,10714.882,351.363,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Tajikistan,TJK,,18.708,23.058,26.042,41.457,43.286,52.294,30.205,1.218,28.563,111.386,63.76,44.123,61.986,8.662,17.766,3.235,3.995,2.263,23.362,54.735,11.424,16.255,9.743,11.98,40.667,49.488,8.279,85.209,4.975,6.098,-135.325,21.724,36.54,47.974,24.675,8.734,10.695,10.49,12.41,1.211,49.904,0,-260.674,22.361,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Turkey,TUR,,169.977,154.563,177.874,138.763,138.232,99.629,121.794,32.89,195.113,276.993,296.471,142.409,171.079,37.05,148.791,126.73,23.053,235.566,208.415,273.52,243.339,128.97,145.377,80.759,304.971,120.722,118.293,269.22,140.905,200.157,1461.031,129.475,245.467,369.193,137.354,197.429,201.837,153.699,230.38,155.455,102.248,0,-603.874,180.245,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Ukraine,UKR,,71.532,74.861,91.168,138.889,143.899,157.309,167.861,78.825,170.057,274.236,,,,65.787,82.634,238.741,190.235,252.271,24.556,72.23,43.249,123.173,36.119,27.047,50.227,112.183,32.175,179.366,27.544,71.653,-560.141,,177.975,227.112,134.079,36.656,30.686,35.919,35.85,5.37,169.136,1.296,-256.353,77.93,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,United Kingdom,GBR,,277.111,291.181,298.818,199.136,193.138,183.688,176.514,106.185,210.048,188.891,231.328,179.566,502.966,70.133,284.168,269.926,426.353,130.015,412.611,228.609,328.957,239.18,328.136,417.823,227.205,198.949,659.066,225.168,359.256,345.499,-1416.545,301.162,299.947,338.79,258.024,242.937,248.523,256.04,159.718,437.196,84.199,259.281,-618.148,283.068,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Latin America & Caribbean (ICP),LCB,,96.7,108.208,109.116,133.503,128.939,114.244,212.69,56.677,137.987,154.178,122.278,71.976,130.201,111.421,187.774,105.48,127.987,75.554,85.367,93.036,137.899,77.1,124.415,95.278,175.26,109.52,70.066,174.582,125.844,100.457,169.362,110.374,113.415,105.682,120.421,67.063,67.079,74.933,71.409,23.307,81.297,-1.92,-107.602,98.636,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Anguilla,AIA,,137.852,172.88,168.983,139.919,110.638,83.931,156.157,218.632,106.974,108.102,85.358,79.615,81.409,89.019,477.594,203.279,336.303,13.477,75.798,225.468,115.363,54.596,298.615,263.92,288.681,439.925,114.381,155.46,130.648,210.62,0,164.01,242.607,124.689,380.959,99.411,111.4,102.843,110.012,88.092,-186.376,262.923,-3971.737,163.07,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Antigua and Barbuda,ATG,,123.494,79.639,90.042,118.634,110.278,90.605,142.616,198.918,102.21,96.359,46.25,105.439,52.066,146.743,215.67,78.686,94.82,58.634,95.614,166.58,128.046,123.049,138.589,115.632,167.061,173.896,59.324,100.047,59.722,138.788,13846.925,67.674,215.717,188.444,249.31,128.808,134.28,74.315,201.227,2.155,16.814,0,1995.165,111.947,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Argentina,ARG,,142.332,171.024,170.245,175.766,158.348,137.629,316.478,25.429,174.513,322.029,58.688,34.932,267.956,123.381,381.111,293.324,390.076,149.928,88.177,90.457,234.121,183.465,188.63,126.216,290.218,241.644,114.299,233.72,212.497,166.863,25.177,179.974,211.01,155.786,269.524,68.967,66.66,74.081,82.033,3.516,130.385,0,-502.538,147.685,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Aruba,ABW,,231.627,237.381,214.543,103.791,100.275,84.038,164.994,76.987,112.692,85.846,98.192,55.154,66.665,109.841,144.581,35.053,50.679,12.994,103.339,612.25,346.974,14.177,255.388,301.476,79.667,338.88,229.478,127.535,141.058,158.61,0,186.219,279.195,16.638,583.051,180.586,177.619,288.414,69.58,379.408,310.129,0,618.159,230.096,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,"Bahamas, The",BHS,,212.762,202.858,198.589,174.247,164.135,77.43,332.388,502.705,61.052,110.67,120.803,154.764,42.075,204.416,293.446,82.701,138.302,6.946,111.7,403.712,152.301,94.145,204.313,127.734,176.14,213.32,232.426,178.369,218.381,163.034,0,164.488,264.489,154.487,404.038,249.513,251.998,316.364,276.133,3.816,211.448,92.946,-1715.655,224.784,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Barbados,BRB,,90.03,110.408,107.41,100.566,105.052,92.654,157.781,219.619,145.366,119.852,45.1,65.398,45.224,51.277,68.657,66.697,92.132,29.88,62.348,335.446,74.318,45.226,88.627,15.773,176.639,213.621,68.696,65.957,455.402,81.394,15440.996,70.136,107.45,77.999,137.108,85.496,74.905,38.773,74.593,109.554,325.246,0,-2214.062,103.593,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Belize,BLZ,,43.443,51.896,49.333,58.834,55.873,62.621,78.383,10.811,67.807,77.383,25.484,39.071,54.69,45.603,92.061,20.861,31.74,5.433,97.827,76.439,96.845,36.468,54.827,24.515,75.501,38.862,47.25,35.528,8.802,20.253,0,44.733,49.325,25.785,74.742,27.938,30.679,35.982,37.188,0.04,-32.73,0,-212.116,45.297,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Bolivia,BOL,,50.759,66.772,59.276,123.531,116.478,77.53,201.014,33.609,104.816,119.374,81.447,113.479,234.361,75.663,209.536,32.066,34.623,29.435,29.459,55.517,93.238,33.477,108.745,16.933,276.388,9.128,8.529,40.487,100.451,14.087,-7.538,68.939,40.296,8.754,72.313,34.099,34.01,50.521,25.13,18.091,40.537,0,-287.918,53.617,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Bonaire,BON,,,123.436,,80.659,79.56,72.917,61.399,37.889,58.614,67.856,40.338,39.349,48.916,440.76,96.105,28.265,40.381,11.152,92.846,,187.367,,216.859,231.568,250.87,183.284,,,97.737,,0,113.069,,,,,,,,,,,,,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Brazil,BRA,,87.493,97.7,98.57,118.296,116.565,107.649,201.38,62.509,128.261,108.902,92.954,75.366,125.264,60.952,138.107,59.113,51.828,71.435,94.454,95.989,146.533,74.077,98.636,80.398,72.037,83.501,46.905,112.291,106.904,110.459,0,96.629,103.883,99.428,109.025,54.398,56.846,58.492,57.874,34.298,5.373,0,89.48,87.557,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Cayman Islands,CYM,,418.309,353.529,329.547,171.975,150.037,72.385,276.675,230.744,141.412,92.094,155.606,93.299,159.74,179.077,421.106,252.441,383.405,74.904,269.488,444.145,372.323,167.032,509.82,461.606,551.427,316.676,319.651,187.831,465.423,552.701,0,343.836,244.932,128.081,382.069,234.148,243.832,271.236,281.03,18.534,21.337,338.778,23332.293,307.962,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Chile,CHL,,142.552,142.498,149.193,147.39,139.325,136.808,172.027,74.822,145.272,153.796,241.831,99.495,131.087,74.981,244.404,172.108,261.647,97.596,143.55,95.6,191.22,133.059,185.94,140.49,308.381,177.954,145.646,274.293,129.488,133.552,370.936,153.03,148.583,184.925,104.849,129.651,133.705,156.961,122.341,74.174,68.874,0,261.716,141.938,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Colombia,COL,,85.558,100.375,101.842,94.385,95.708,55.248,129.511,39.176,93.346,98.185,243.706,70.931,133.014,30.296,71.755,99.88,96.618,64.438,103.816,80.298,89.795,87.072,64.268,24.287,132.678,87.103,69.783,256.43,194.673,91.022,-143.077,104.831,121.776,94.037,143.372,50.607,53.547,42.876,58.829,28.769,-8.151,1.765,-405.698,90.3,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Costa Rica,CRI,,119.446,134.837,138.632,124.377,117.766,114.539,154.222,44.442,144.626,253.062,74.715,80.235,134.289,102.192,205.218,80.925,102.996,55.089,88.434,125.521,203.455,85.176,122.934,72.255,325.261,301.379,116.392,311.217,165.714,122.571,0,136.15,141.542,158.151,119.629,71.313,74.707,90.971,63.697,50.17,6.536,22.899,47.195,120.101,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Curaçao,CUW,,151.748,162.233,167.447,127.525,126.824,131.598,163.256,114.424,98.901,98.515,96.939,81.277,99.448,220.681,134.272,51.379,65.824,29.126,120.264,253.433,377.151,174.612,248.891,209.206,276.866,210.523,269.493,71.36,55.308,169.274,5470.057,149.178,189.487,199.038,172.597,228.571,160.362,371.382,93.265,38.094,2038.257,0,-5237.047,185.873,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Dominica,DMA,,68.117,99.169,96.534,87.397,90.978,90.249,96.894,206.69,77.546,94.194,56.448,67.338,79.078,80.787,51.336,23.691,33.66,9.441,138.138,169.887,103.036,53.446,147.5,98.217,162.338,108.037,48.376,96.564,70.953,63.464,0,88.086,88.764,67.79,110.594,26.898,37.987,37.276,41.399,14.173,-225.708,0,-1356.437,78.12,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Dominican Republic,DOM,,100.843,114.656,113.655,153.465,147.311,88.251,236.331,21.994,167.457,136.851,368.401,89.102,80.801,98.893,227.469,124.084,181.726,43.162,48.106,186.969,98.931,70.303,102.929,66.869,322.677,102.163,40.52,166.689,142.065,76.083,280.949,109.459,99.397,100.833,99.264,79.425,87.704,53.878,145.355,2.083,-88.103,0,-273.151,103.632,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Ecuador,ECU,,70.006,72.126,71.953,93.17,93.324,81.069,106.147,99.154,112.187,106.066,102.234,33.26,104.983,123.532,92.677,56.244,88.522,12.329,39.085,65.927,128.574,55.636,100.691,37.931,218.881,84.023,37.991,89.787,44.081,68.95,340.34,73.78,64.604,65.828,62.525,70.037,71.248,50.543,104.03,13.827,48.619,0,-58.952,70.842,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,El Salvador,SLV,,50.837,70.526,67.568,125.784,119.47,110.328,108.381,63.459,140.768,80.089,89.14,23.527,82.518,497.25,200.502,33.808,44.1,18.265,59.558,51.354,81.837,41.376,54.93,18.655,115.566,77.182,31.154,52.575,94.155,60.184,-142.27,73.955,58.315,40.995,78.072,32.619,32.273,35.707,38.028,5.826,41.042,0,-807.631,58.75,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Grenada,GRD,,97.826,153.164,145.737,135.718,140.069,139.847,180.117,351.419,152.13,145.634,43.535,71.423,161.715,85.065,97.419,82.222,94.127,64.603,170.128,282.496,110.851,46.029,222.095,157.934,280.867,375.148,49.575,115.259,59.138,92.73,-533.771,136.092,88.297,74.013,101.707,61.667,66.815,105.153,63.337,0,-50.163,0,-3041.727,119.766,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Guyana,GUY,,54.165,58.335,59.381,74.239,76.301,91.687,73.375,105.832,60.048,97.999,45.219,79.773,57.291,38.925,54.644,59.663,86.366,21.328,31.705,107.334,71.256,31.976,76.496,93.158,107.532,61.571,1.792,65.952,19.857,39.708,-162.826,53.595,95.52,67.764,125.896,47.746,49.987,51.868,64.82,8.225,0,0,-823.838,60.723,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Haiti,HTI,,11.31,18.303,18.126,54.309,57.124,140.294,36.061,27.56,10.817,120.916,9.569,47.024,40.948,41.348,4.026,12.618,6.265,14.973,20.705,13.087,23.041,6.157,8.171,5.257,6.347,2.049,15.237,19.176,0.867,3.286,0,19.247,9.062,15.941,1.708,9.731,10.19,0.607,21.426,0.034,0,3.621,-345.197,14.728,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Honduras,HND,,33.515,45.472,42.693,74.756,63.996,66.563,69.42,18.846,88.77,84.025,48.572,35.524,94.02,62.309,211.277,75.147,80.231,64.641,45.793,39.922,37.281,18.315,38.312,23.464,54.924,43.296,29.86,40.271,60.648,25.467,-2.078,45.621,22.627,20.643,24.15,31.087,31.017,40.573,26.742,16.072,34.361,0,-464.172,38.106,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Jamaica,JAM,,57.963,80.679,78.52,109.131,115.35,125.625,101.971,134.256,41.993,68.258,135.58,137.937,85.473,126.013,72.903,38.239,62.603,8.399,66.603,58.039,119.63,68.888,110.04,49.206,170.392,88.29,99.607,82.566,239.952,71.546,4823.184,81.455,59.457,54.953,63.245,34.193,35.101,54.812,31.623,5.62,18.709,0,-919.604,65.239,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Mexico,MEX,,120.651,130.868,134.068,186.434,177.967,155.328,306.182,57.098,192.367,247.219,148.237,71.993,122.824,230.041,291.13,155.735,201.723,108.615,75.644,107.654,142.952,57.161,190.486,186.276,252.236,126.932,100.415,295.449,114.614,103.998,447.777,135.154,133.225,136.954,127.31,96.131,89.46,126.037,84.135,11.936,284.755,0,-215.219,124.135,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Montserrat,MSR,,109.318,137.845,148.276,102.065,96.58,133.686,155.488,150.841,81.653,28.589,24.199,41.334,70.477,133.112,164.372,106.073,145.534,51.785,31.241,244.277,193.2,109.912,264.956,69.963,330.586,393.308,148.22,165.443,10.267,118.695,2189.791,114.959,553.436,250.27,902.119,53.272,50.835,27.943,72.702,13.281,116.753,0,-7856.953,162.082,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Nicaragua,NIC,,36.33,44.605,45.348,67.007,60.008,59.1,83.9,17.541,93.389,63.858,29.373,49.802,43.238,30.875,156.308,39.414,43.363,34.428,31.806,41.36,54.377,42.419,46.744,13.024,91.886,30.999,33.146,67.199,49.179,26.817,117.612,43.48,49.309,50.804,48.122,26.393,25.463,30.862,22.553,17.71,52.51,0,-370.548,40.218,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Panama,PAN,,183.703,167.191,165.821,147.551,145.3,118.789,286.64,179.591,138.736,81.613,55.632,46.566,76.362,249.654,172.509,157.148,276.671,22.496,259.226,256.284,139.55,112.249,290.879,169.768,559.83,220.248,183.248,162.408,226.978,112.053,3989.479,152.466,161.961,145.656,179.74,233.982,233.413,137.075,377.035,0,266.808,0,-580.05,189.822,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Paraguay,PRY,,75.89,89.404,86.442,128.21,124.841,107.126,275.416,11.944,185.624,115.351,39.255,25.824,39.084,212.084,166.68,117.339,171.96,30.52,54.505,97.041,222.212,51.361,74.092,39.796,166.282,52.085,38.25,102.298,85.36,53.24,0,88.952,58.759,57.894,59.522,45.309,42.517,44.543,52.139,7.114,118.151,0,293.836,72.982,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Peru,PER,,75.361,82.516,80.205,100.569,100.61,97.536,127.538,66.677,84.928,64.919,113.883,113.945,94.779,68.725,99.381,43.855,66.345,2.941,77.14,35.577,68.068,57.807,111.954,42.617,322.184,109.07,66.986,96.386,174.633,68.263,0,90.602,72.53,57.205,88.43,56.001,58.447,56.672,71.925,16.42,6.506,0,162.223,74.22,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Sint Maarten,SXM,,190.284,236.306,223.779,128.346,118.12,96.701,134.499,82.088,90.188,76.429,75.059,64.808,73.245,447.572,256.407,38.472,58.891,10.147,341.134,656.533,257.078,57.117,272.15,436.148,162.219,213.221,124.258,67.536,57.704,221.157,0,169.992,273.422,111.437,461.522,117.769,123.576,286.206,43.767,147.57,0,0,-2909.398,210.184,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,St. Kitts and Nevis,KNA,,144.411,146.259,151.063,142.589,127.867,115.27,166.661,262.174,109.265,106.615,59.736,102.915,84.6,148.148,319.256,181.252,302.036,2.448,194.989,207.89,238.829,98.564,137.532,73.906,120.8,230.265,103.241,204.388,135.326,120.269,0,141.617,280.846,192.681,381.675,165.719,173.697,136.303,228.477,30.5,1.452,0,-3758.14,169.429,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,St. Lucia,LCA,,76.739,47.188,46.44,38.635,37.569,23.465,36.119,135.125,22.88,27.205,56.173,21.545,24.416,53.098,50.169,26.122,38.796,8.32,43.994,43.548,44.115,35.961,82.298,48.4,99.059,19.198,27.867,89.432,29.077,44.322,0,44.911,141.941,37.08,257.436,35.867,37.506,38.571,48.551,0.554,0,0,3213.32,56.614,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,St. Vincent and the Grenadines,VCT,,78.786,95.326,95.282,97.185,103.853,70.667,106.738,129.823,77.054,64.429,69.846,174.031,78.346,56.674,34.697,91.334,99.589,88.998,50.804,186.367,79.788,36.837,127.475,65.433,267.323,115.277,75.666,85.317,18.088,72.165,-949.525,79.527,123.024,89.545,157.919,66.788,68.872,61.34,81.682,24.192,27.041,0,-1794.625,92.082,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Suriname,SUR,,98.467,82.761,85.707,136.276,130.466,182.199,139.079,179.77,135.131,279.41,12.966,96.515,79.503,44.226,203.754,49.443,30.192,73.6,53.671,126.811,83.237,95.048,62.619,17.68,45.577,100.629,43.652,2.935,16.399,75.823,0,84.606,168.315,113.38,231.859,91.775,105.281,248.573,45.866,0.419,8.689,-2456.114,-129.521,98.002,,,
"Expenditure per capita index, PPP-based (World = 100)",PCAP.PP.IX.WL,2017,YR2017,Trinidad and Tobago,TTO,,161.525,187.41,194.345,144.537,142.59,129.142,143.353,204.972,118.687,167.989,117.568,125.374,97.497,187.501,162.372,40.372,67.041,2.062,207.795,410.058,188.327,135.809,272.499,140.303,435.695,167.826,217.272,227.518,60.544,83.366,60.251,174.026,138.244,224.131,25.519,77.73,72.081,117.186,64.504,6.903,217.923,0,1821.822,150.56,,,
